ID,Equation,"Inputs (A, B, C, D)",Circuit,Min Delay (ns),Max Delay (ns),Combinational Depth,Final Output (Y)
454,"XNOR(D, AND(C, NOR(A, B)))","[1, 1, 1, 0]",XNOR -> AND -> NOR,6,9,3,0
455,"XNOR(D, AND(C, XOR(A, B)))","[0, 0, 0, 1]",XNOR -> AND -> XOR,7,10,3,1
456,"XNOR(D, AND(C, XNOR(A, B)))","[1, 0, 0, 1]",XNOR -> AND -> XNOR,7,10,3,1
457,"XNOR(D, OR(C, AND(A, B)))","[0, 1, 1, 0]",XNOR -> OR -> AND,6.5,9.5,3,1
458,"XNOR(D, OR(C, OR(A, B)))","[0, 0, 1, 1]",XNOR -> OR -> OR,6.5,9.5,3,1
459,"XNOR(D, OR(C, NOT(A)))","[1, 1, 0, 1]",XNOR -> OR -> NOT,5.5,8,3,0
460,"XNOR(D, OR(C, BUFFER(A)))","[1, 0, 1, 1]",XNOR -> OR -> BUFFER,4.7,7,3,1
461,"XNOR(D, OR(C, NAND(A, B)))","[1, 1, 0, 0]",XNOR -> OR -> NAND,6,9,3,0
462,"XNOR(D, OR(C, NOR(A, B)))","[1, 1, 1, 1]",XNOR -> OR -> NOR,6,9,3,1
463,"XNOR(D, OR(C, XOR(A, B)))","[0, 0, 1, 0]",XNOR -> OR -> XOR,7,10,3,0
464,"XNOR(D, OR(C, XNOR(A, B)))","[0, 0, 0, 0]",XNOR -> OR -> XNOR,7,10,3,0
465,"XNOR(D, NOT(AND(A, B)))","[0, 0, 0, 1]",XNOR -> NOT -> AND,5.5,8,3,0
466,"XNOR(D, NOT(OR(A, B)))","[0, 1, 0, 1]",XNOR -> NOT -> OR,5.5,8,3,1
467,"XNOR(D, NOT(NOT(A)))","[0, 0, 1, 1]",XNOR -> NOT -> NOT,4.5,6.5,3,1
468,"XNOR(D, NOT(BUFFER(A)))","[0, 0, 1, 0]",XNOR -> NOT -> BUFFER,3.7,5.5,3,1
469,"XNOR(D, NOT(NAND(A, B)))","[1, 0, 0, 1]",XNOR -> NOT -> NAND,5,7.5,3,0
470,"XNOR(D, NOT(NOR(A, B)))","[1, 1, 0, 0]",XNOR -> NOT -> NOR,5,7.5,3,1
471,"XNOR(D, NOT(XOR(A, B)))","[0, 1, 0, 1]",XNOR -> NOT -> XOR,6,8.5,3,1
472,"XNOR(D, NOT(XNOR(A, B)))","[0, 0, 1, 0]",XNOR -> NOT -> XNOR,6,8.5,3,1
473,"XNOR(D, BUFFER(AND(A, B)))","[0, 0, 0, 1]",XNOR -> BUFFER -> AND,4.7,7,3,1
474,"XNOR(D, BUFFER(OR(A, B)))","[1, 0, 0, 1]",XNOR -> BUFFER -> OR,4.7,7,3,1
475,"XNOR(D, BUFFER(NOT(A)))","[0, 1, 0, 0]",XNOR -> BUFFER -> NOT,3.7,5.5,3,0
476,"XNOR(D, BUFFER(BUFFER(A)))","[0, 1, 0, 1]",XNOR -> BUFFER -> BUFFER,2.9,4.5,3,0
477,"XNOR(D, BUFFER(NAND(A, B)))","[0, 1, 0, 0]",XNOR -> BUFFER -> NAND,4.2,6.5,3,0
478,"XNOR(D, BUFFER(NOR(A, B)))","[1, 0, 1, 1]",XNOR -> BUFFER -> NOR,4.2,6.5,3,0
479,"XNOR(D, BUFFER(XOR(A, B)))","[1, 1, 1, 1]",XNOR -> BUFFER -> XOR,5.2,7.5,3,1
480,"XNOR(D, BUFFER(XNOR(A, B)))","[1, 1, 0, 0]",XNOR -> BUFFER -> XNOR,5.2,7.5,3,0
481,"XNOR(D, NAND(C, AND(A, B)))","[1, 0, 0, 0]",XNOR -> NAND -> AND,6,9,3,0
482,"XNOR(D, NAND(C, OR(A, B)))","[1, 1, 0, 1]",XNOR -> NAND -> OR,6,9,3,1
483,"XNOR(D, NAND(C, NOT(A)))","[1, 0, 1, 0]",XNOR -> NAND -> NOT,5,7.5,3,1
484,"XNOR(D, NAND(C, BUFFER(A)))","[1, 0, 0, 0]",XNOR -> NAND -> BUFFER,4.2,6.5,3,0
485,"XNOR(D, NAND(C, NAND(A, B)))","[0, 0, 1, 0]",XNOR -> NAND -> NAND,5.5,8.5,3,1
486,"XNOR(D, NAND(C, NOR(A, B)))","[0, 1, 0, 1]",XNOR -> NAND -> NOR,5.5,8.5,3,0
487,"XNOR(D, NAND(C, XOR(A, B)))","[1, 0, 0, 0]",XNOR -> NAND -> XOR,6.5,9.5,3,0
488,"XNOR(D, NAND(C, XNOR(A, B)))","[1, 1, 1, 0]",XNOR -> NAND -> XNOR,6.5,9.5,3,1
489,"XNOR(D, NOR(C, AND(A, B)))","[1, 1, 1, 0]",XNOR -> NOR -> AND,6,9,3,0
490,"XNOR(D, NOR(C, OR(A, B)))","[1, 1, 1, 0]",XNOR -> NOR -> OR,6,9,3,0
491,"XNOR(D, NOR(C, NOT(A)))","[0, 0, 1, 0]",XNOR -> NOR -> NOT,5,7.5,3,0
492,"XNOR(D, NOR(C, BUFFER(A)))","[0, 1, 1, 0]",XNOR -> NOR -> BUFFER,4.2,6.5,3,0
493,"XNOR(D, NOR(C, NAND(A, B)))","[1, 0, 0, 1]",XNOR -> NOR -> NAND,5.5,8.5,3,0
494,"XNOR(D, NOR(C, NOR(A, B)))","[1, 1, 1, 0]",XNOR -> NOR -> NOR,5.5,8.5,3,0
495,"XNOR(D, NOR(C, XOR(A, B)))","[1, 1, 1, 1]",XNOR -> NOR -> XOR,6.5,9.5,3,0
496,"XNOR(D, NOR(C, XNOR(A, B)))","[1, 0, 1, 0]",XNOR -> NOR -> XNOR,6.5,9.5,3,1
497,"XNOR(D, XOR(C, AND(A, B)))","[0, 0, 1, 1]",XNOR -> XOR -> AND,7,10,3,0
498,"XNOR(D, XOR(C, OR(A, B)))","[1, 1, 1, 0]",XNOR -> XOR -> OR,7,10,3,0
499,"XNOR(D, XOR(C, NOT(A)))","[1, 1, 0, 0]",XNOR -> XOR -> NOT,6,8.5,3,0
500,"XNOR(D, XOR(C, BUFFER(A)))","[1, 1, 1, 0]",XNOR -> XOR -> BUFFER,5.2,7.5,3,0
501,"XNOR(D, XOR(C, NAND(A, B)))","[0, 1, 1, 1]",XNOR -> XOR -> NAND,6.5,9.5,3,0
502,"XNOR(D, XOR(C, NOR(A, B)))","[1, 1, 1, 1]",XNOR -> XOR -> NOR,6.5,9.5,3,1
503,"XNOR(D, XOR(C, XOR(A, B)))","[1, 0, 1, 0]",XNOR -> XOR -> XOR,7.5,10.5,3,1
504,"XNOR(D, XOR(C, XNOR(A, B)))","[0, 1, 1, 0]",XNOR -> XOR -> XNOR,7.5,10.5,3,0
505,"XNOR(D, XNOR(C, AND(A, B)))","[1, 0, 0, 0]",XNOR -> XNOR -> AND,7,10,3,0
506,"XNOR(D, XNOR(C, OR(A, B)))","[1, 1, 1, 0]",XNOR -> XNOR -> OR,7,10,3,1
507,"XNOR(D, XNOR(C, NOT(A)))","[1, 1, 0, 1]",XNOR -> XNOR -> NOT,6,8.5,3,1
508,"XNOR(D, XNOR(C, BUFFER(A)))","[1, 1, 1, 0]",XNOR -> XNOR -> BUFFER,5.2,7.5,3,1
509,"XNOR(D, XNOR(C, NAND(A, B)))","[0, 1, 0, 1]",XNOR -> XNOR -> NAND,6.5,9.5,3,0
510,"XNOR(D, XNOR(C, NOR(A, B)))","[0, 0, 0, 0]",XNOR -> XNOR -> NOR,6.5,9.5,3,1
511,"XNOR(D, XNOR(C, XOR(A, B)))","[1, 0, 1, 0]",XNOR -> XNOR -> XOR,7.5,10.5,3,0
512,"XNOR(D, XNOR(C, XNOR(A, B)))","[0, 1, 0, 1]",XNOR -> XNOR -> XNOR,7.5,10.5,3,1
